review_text,rating,summary_text,text_length,clean_review,clean_length
i thought only a 32 gb would work in my 32gb asus pad but this works great in it...i wanted more space an this made it easier to put on vids an way more pics,5.0,works very well in my asus pad,35,thought gb would work gb asus pad works great iti wanted space made easier put vids way pics,18
"I was looking for expanding memory of my Galaxy Note 3, so I bought this one. This is class 10 micro SD card. Good enough speed for the smart phones. The best way to upgrade the memory of the phone.",5.0,Excellent choice for expanding phone memory,40,looking expanding memory galaxy note bought one class micro sd card good enough speed smart phones best way upgrade memory phone,21
"When I needed more VIDEO capacity for my Canon camera, the Sandisk 32 GB Micro Card (with included Adapter) was EXACTLY the right tool for the job !!I've had several SanDisk Memory Cards in the past, with never a glitch of any kind.Highly recommended !",5.0,Upgrade Your Camera's Video Capacity !!,45,needed video capacity canon camera sandisk gb micro card included adapter exactly right tool job ive several sandisk memory cards past never glitch kindhighly recommended,25
I got this to use in my mother's digital camcorder. It offered good value and with the adapter it insures that the card can be used anywhere. My mom was very happy with the extra capacity this card provided her to film my niece and nephew.,5.0,Excellent Value,46,got use mothers digital camcorder offered good value adapter insures card used anywhere mom happy extra capacity card provided film niece nephew,22
"The micro SD card was extremely fast.  Writing and read files were very fast even on a slow USB 2.0 interface.  Mechanically, the card is tight in the adapter.  Needs a screw driver to get it back out of the adapter.  Tried on another two adapters with the same results, tight fit.  If user plan to use this as a normal size SD card, it is an excellent card.  If one plan to switch between &#34;phone&#34; (micro SD card) and camera (normal size SD card), then the tight fit might be a problem.  Vender service was excellent.  shipment was faster than expected.  Would buy it again even with the tight fit.  It was an excellent value for a very fast card (camera can shoot burst mode without slowing down to write to card).",4.0,Very fast memory card,133,micro sd card extremely fast writing read files fast even slow usb interface mechanically card tight adapter needs screw driver get back adapter tried another two adapters results tight fit user plan use normal size sd card excellent card one plan switch phone micro sd card camera normal size sd card tight fit might problem vender service excellent shipment faster expected would buy even tight fit excellent value fast card camera shoot burst mode without slowing write card,78
Received it as promised. Inserted it into tables and was acknowledged that it is there.Guess it will work as expected also.,4.0,SanDisk Ultra 32 GB MicroSDHC C10/UHS1 Memory Card with Adapter (SDSDQU-032G-AFFP-A),21,received promised inserted tables acknowledged thereguess work expected also,9
I put it in my tablet and so far nothing to complain about. Will see how long this one can last.,4.0,nothing to complain about,21,put tablet far nothing complain see long one last,9
SanDisk makes some great memory chips for a decent price. I can' recommend no names brands because of their error frequency.,4.0,Good product,21,sandisk makes great memory chips decent price recommend names brands error frequency,12
"works great so far, but gopro filled the card pretty quick recording at 1080p. So I got a 64GB a week later.",4.0,works great,22,works great far gopro filled card pretty quick recording p got gb week later,14
I had to replace my other 32G MSD Card. Was not aware of the Card Speed issue and as a result started loosing video and pics from the card as they became corrupted. Did a little research and found out the card write speed was the issue. Did not make sense. But replaced the card and yes it works. Have not lost a pic or a vid since.,4.0,Great,68,replace g msd card aware card speed issue result started loosing video pics card became corrupted little research found card write speed issue make sense replaced card yes works lost pic vid since,33
Love this 32gb micro sd card. I put it in my Samsung Galaxy Note phone. I just returned from a 3 day trip where I used it as my camera/video recorder. I kept it on HD quality the whole time. No problems at all. The only reason I did not give it a 5 star rating was because it actually only had 29gb of space instead of 32. If that is the norm then please excuse my ignorance!,4.0,Satisfied!,78,love gb micro sd card put samsung galaxy note phone returned day trip used cameravideo recorder kept hd quality whole time problems reason give star rating actually gb space instead norm please excuse ignorance,34
"I've never had a problem with Sandisk memory products (I use their &#34;ultra&#34; compact flash for my other camera), and this one is cut from the cloth. A great product with no problems... I will continue to demand Sandisk!",5.0,A great product with no problems,39,ive never problem sandisk memory products use ultra compact flash camera one cut cloth great product problems continue demand sandisk,20
How can you review a SanDisk card?  It works.  It stores pictures and other items on my phone.  Zero problems with it.,5.0,SanDisk - works!,22,review sandisk card works stores pictures items phone zero problems,10
this card is use in a galaxy S4; read and write speed is very good. the card comes ready to use out of the box,5.0,great memory,25,card use galaxy read write speed good card comes ready use box,12
I use this in my Galaxy Tab 3 It is great and I have not had any issues with it.,5.0,Super,20,use galaxy tab great issues,5
Ordered several of these as they are much cheaper then at Best Buy. Use in my GoPro and they work great. I prefer several 32GBs over 64GBs just in case they do get corrupted you aren't losing as much data.,5.0,No Problems,40,ordered several much cheaper best buy use gopro work great prefer several gbs gbs case get corrupted arent losing much data,21
Great memory card! Got this on one Amazon's daily deals at a terrific price! Getting ready to upgrade my cell phone and want to have a larger capacity memory card ready to go. This is just what I needed!,5.0,Sandisk Ultra 32 gb micro SDHC card,39,great memory card got one amazons daily deals terrific price getting ready upgrade cell phone want larger capacity memory card ready go needed,23
"Works fine my Virgin Mobile HTC EVO V. The phone didn't recognize it at first, but after formatting it's all good.",4.0,It's fine,21,works fine virgin mobile htc evo v phone didnt recognize first formatting good,13
32 GB on top of my 16GB from my Samsung  S4.  Memory Card with adapter included.  Fit exactly on my phone.  Price was lower than buying in another phone store.,5.0,For my Samsung S4,30,gb top gb samsung memory card adapter included fit exactly phone price lower buying another phone store,17
"I got this to upgrade my surface pro 2's storage and it works nicely, what do I store on it? Bunch of MP3's and games on steam.It works well, the games run fine, boot pretty quick, the one issues I had was installing the games, sometimes the card would vanish from the drive and I'd have to pop it in and out to get it to go again, however I feel like that could be software related as nothing like that happened while playing a game.Best idea is to install the game on the surface, move the files over manually to the card, &#34;tell steam to uninstall the game&#34; to erase it from the list, then hit install, point it to the folder on the card, then it'll spot the files, download only a few things and bam, it works.About the card itself, I wouldn't rely on multitasking off this thing, as it's not meant for that- as in if you're playing music off this card, do not install a game at the same time. It's fast at 1 thing, not many.",4.0,Works nicely,182,got upgrade surface pro storage works nicely store bunch mps games steamit works well games run fine boot pretty quick one issues installing games sometimes card would vanish drive id pop get go however feel like could software related nothing like happened playing gamebest idea install game surface move files manually card tell steam uninstall game erase list hit install point folder card itll spot files download things bam worksabout card wouldnt rely multitasking thing meant youre playing music card install game time fast thing many,86
"The card was working great. I own quite a few for several of my devices. One that I bough in 2012 suddenly died. I went to the SanDisk website and did a chat support. The Tech tried some quick troubleshooting and after about five minutes asked for my info for an RMA. The process was quick and easy. Like I said, this one suddenly died, no idea why. Luckily I didn't have anything important on it at the time. This is the only one I've ever had fail, and like I said, the RMA process was a breeze. I really like these cards and the customer service was great. For reference, I run these cards in a Samsung Galaxy SII (hercules) - 32 gb, Motorola Droid (sholes) - 16 gb, Motorola Droid 3 (solana) - 32 gb, Samsung Galaxy Note 10.1 (2012) (GT-N8013) -32 gb, it was the Note one that failed. I also have a GoPro but I run the golden SanDisk cards in that, but they are twice the price! I will continue to buy these cards regardless of this isolated incident.",4.0,"Card dies suddenly, was RMAd no questions asked.",184,card working great quite several devices one bough suddenly died went sandisk website chat support tech tried quick troubleshooting five minutes asked info rma process quick easy like said one suddenly died idea luckily didnt anything important time one ive ever fail like said rma process breeze really like cards customer service great reference run cards samsung galaxy sii hercules gb motorola droid sholes gb motorola droid solana gb samsung galaxy note gtn gb note one failed also gopro run golden sandisk cards twice price continue buy cards regardless isolated incident,91
"I mean, its obvious lies, this whole 64GB thing.. you get maybe 60 if you are lucky..Seems to work ok so far.",4.0,So far so good.,22,mean obvious lies whole gb thing get maybe luckyseems work ok far,12
I take lots of pics with my phone (Samsung 4S) and this helps free up space on my phone. I've not had any issues with it so far.,5.0,Works great,28,take lots pics phone samsung helps free space phone ive issues far,12
"exactly what I neededTook the old 32 GB card out of my Samsung Galaxy S4 to put in my digital recorder so I bought this new 64 GB card for the phone.As advertised, very fast and stable (I try to transfer as many of my apps to external media on the phone to free memory on the phone) and I have not had one problem as of yet.Highly recommended",5.0,very nice relatively inexpensive expansion card,69,exactly neededtook old gb card samsung galaxy put digital recorder bought new gb card phoneas advertised fast stable try transfer many apps external media phone free memory phone one problem yethighly recommended,32
"We always come straight to Amazon for our memory card needs, and SanDisk is one of the reliable names in this category.  Lots of usable memory for minimum cost outlay so there is no downside to this product. Max out storage on your compatible devices!",5.0,Great prices on Amazon for Memory!,45,always come straight amazon memory card needs sandisk one reliable names category lots usable memory minimum cost outlay downside product max storage compatible devices,24
This is the best Class 10 MicroSD card I own. I have compared it to my other cards and it out performs all other cards I have. It came with a SD to microSD card converter which is a nice plus. This card come pre-formatted to work with Android devices and Windows devices. Can't get much easier than that.Great card + fast shipping = no complaints,5.0,Fastest microSD I own,66,best class microsd card compared cards performs cards came sd microsd card converter nice plus card come preformatted work android devices windows devices cant get much easier thatgreat card fast shipping complaints,32
Would recommend friends. Worked as expected and transfer is speedy. Always a fan of SanDisk where they make they product quality.,5.0,great product,21,would recommend friends worked expected transfer speedy always fan sandisk make product quality,13
Purchased for school district.  I haven't heard any complaints (which I would) so I can only assume that everything is okay.,5.0,Purchased for school district.,21,purchased school district havent heard complaints would assume everything okay,10
This product is great my phone doesnt lock up anymore. I was wondering what a class 10 was and i found out that it means it runs faster than the normal black micro sd card (most are a class 1 or 2) that your smart phone comes with..this card makes a difference in how fast i can get on the internet to...,5.0,SanDisk Ultra 32 GB MicroSDHC Class 10,62,product great phone doesnt lock anymore wondering class found means runs faster normal black micro sd card class smart phone comes withthis card makes difference fast get internet,28
"Before purchasing this I had a SanDisk 16GB Class 2 microSDHC. Needless to say, I didn't see the need in purchasing one of these. Then I began to read how Class 10 cards really do process recordings faster and records pictures faster. I didn't believe it, so I put it to the test. Using it in my Samsung Galaxy sIII, I installed it and recorded videos, took pictures, and played music on it. I also downloaded PDFs for work and other documents to it. In every test, it was far faster than any other class, and you can tell a difference between the classes. To close, I would just say don't settle for a lower class because it's cheaper. Wait for these to go on sale (because you know as well as I do that they will) and purchase one then. There is no reason to get a card in a lower class.",5.0,Must have!,153,purchasing sandisk gb class microsdhc needless say didnt see need purchasing one began read class cards really process recordings faster records pictures faster didnt believe put test using samsung galaxy siii installed recorded videos took pictures played music also downloaded pdfs work documents every test far faster class tell difference classes close would say dont settle lower class cheaper wait go sale know well purchase one reason get card lower class,71
Great price. Fast speed class 10. with adapter. I like the color. It's a memory card not much to go wrong.,5.0,Sandisk Ultra 32 gig MicroSD,21,great price fast speed class adapter like color memory card much go wrong,13
"Bought this for my Samsung Galaxy Legend phone so I can store all my pictures and videos, works like a charm.",5.0,Works great,21,bought samsung galaxy legend phone store pictures videos works like charm,11
they work great with my phonei think i may have to buy lots more of this productmaybe 64gb,5.0,great,18,work great phonei think may buy lots productmaybe gb,9
"it is a very good product, we like the brand and we keeping buying it for our camares, phones, tablets...",5.0,good mini sd card! as usual,20,good product like brand keeping buying camares phones tablets,9
"I can't give that much feedback on this because I ended up returning it. I was looking for the ideal memory mircoSD card for a GoPro and found a better model. I did end up filming one event on this card, and it did pretty good. It did end up lagging after some time though, just briefly.",4.0,Good Card,57,cant give much feedback ended returning looking ideal memory mircosd card gopro found better model end filming one event card pretty good end lagging time though briefly,27
"Well known brand-name. High speed, good price, lots of storage space. Lots of uses.  I bought a micro adapter so I can use it as a flash drive for movies.",5.0,Brand name quality.,30,well known brandname high speed good price lots storage space lots uses bought micro adapter use flash drive movies,19
"I used this to upgrade the storage on my phones and tablet. Its simple, I get fast transfer speeds, it just simply works and works well. This is my go to card brand for reliability and performance.",5.0,"Its fast, it works, its reliable. Done.",37,used upgrade storage phones tablet simple get fast transfer speeds simply works works well go card brand reliability performance,19
"I've only had this Memory card for 3.5 weeks and it not only has recently started resetting, it intermittently loses contact with my Cell phone and the memory is lost, erasing everything on it!!!!!! Now I find out my return date has past and I'm stuck with a peice of s*** memory card that I can't do a damn thing about! Thanks a lot for nothing! I will never buy direct from here again!Also, I didn't realize I was supposed to have an adapter too? wow where the heck is that at???",1.0,After 3 1/2 weeks it loses it's memory and KEEPS RESETTING,92,ive memory card weeks recently started resetting intermittently loses contact cell phone memory lost erasing everything find return date past im stuck peice memory card cant damn thing thanks lot nothing never buy direct againalso didnt realize supposed adapter wow heck,41
"This card does not work on droid razr phones. Whenever I try to transfer files on the card, it makes the phone freeze completely. I have tried every possibility to get this to work, but this type of card is worthless because it does not work due to its high capacity on phones. Every workaround I have tried to get this card to work, it still causes my phone to freeze.",1.0,Does not work on droid RAZR,71,card work droid razr phones whenever try transfer files card makes phone freeze completely tried every possibility get work type card worthless work due high capacity phones every workaround tried get card work still causes phone freeze,37
"I am using this to add capacity to my Android powered HP Slate 7&#34; tablet, had to re-format to NTFS to work but then it worked great!  Note many devices will only work with up to 32 GB card only, check your specs before ordering",5.0,High capacity,45,using add capacity android powered hp slate tablet reformat ntfs work worked great note many devices work gb card check specs ordering,22
i got this sd card for my trip to hawaii so i could gopro everything. gets about 4 hours of video at 1080hd. works great. no complaints. highly recommended.,5.0,great sd card for gopro,29,got sd card trip hawaii could gopro everything gets hours video hd works great complaints highly recommended,17
"I bought one of the 32GB for my Galaxy S4, and another for my Canon T3i. It works no problem in it, detected and formatted out of the box.  SanDisk is one of the most reliable card manufacturers in my opinion. I've gone through and sold a lot of cheap/lesser SD cards throughout the years, and almost all manufacturer has their failures, but to date I haven't had any issues with SanDisk. I've bought this same card for my wife and family members (everyone has the S4), and so far there's been no issues. I use mine heavily everyday, new music and movies, and after 6-9 months haven't had any failures.As far as speed goes, using `dd` on a USB3 card reader I recorded almost 14MB/s write speed and 33MB/s read speed. Making it by far the fastest Class 10 card I've had. They do sell &#34;Extreme&#34; versions of this card which are even faster, but most integrated devices won't see the speed increase benefits.",5.0,"Fast card, very reliable, great price.",165,bought one gb galaxy another canon ti works problem detected formatted box sandisk one reliable card manufacturers opinion ive gone sold lot cheaplesser sd cards throughout years almost manufacturer failures date havent issues sandisk ive bought card wife family members everyone far theres issues use mine heavily everyday new music movies months havent failuresas far speed goes using dd usb card reader recorded almost mbs write speed mbs read speed making far fastest class card ive sell extreme versions card even faster integrated devices wont see speed increase benefits,89
I bought the 64GB version of this card to increase the storage capacity of my Samsung Galaxy S3.  I use it to store pictures and video which I shoot with the phone.  I have never had any issues with the card keeping up to the 1080p video that the phone shoots.Speed as tested on my Galaxy S3 w/ SD Card Tester:Write: 9.6 MB/sRead: 24 MB/s,5.0,Additional Memory for Galaxy S3,65,bought gb version card increase storage capacity samsung galaxy use store pictures video shoot phone never issues card keeping p video phone shootsspeed tested galaxy w sd card testerwrite mbsread mbs,31
A must have for those who listen to a lot of music on the go...wish they made a 128gb model.,5.0,works great in my Galaxy S4...,20,must listen lot music gowish made gb model,8
"Bought this to expand my storage space on both my Galaxy S4 and a Surface tablet with Windows RT. Performed very well on both, transferring small files can take a while but I have no problems recording video in HD with my phone. Totally recommend it, and it's the largest card both of this devices will take.",5.0,Works great on a S4 and a Surface Windows RT Machine,57,bought expand storage space galaxy surface tablet windows rt performed well transferring small files take problems recording video hd phone totally recommend largest card devices take,26
Brilliant Little Card  Good Transfer speeds highly recommend to all was exactly what i was looking for at a great price.,5.0,SanDisk micro  sd card,21,brilliant little card good transfer speeds highly recommend exactly looking great price,12
"Good price, good quality. Put it in my phone for some extra storage, and it's held up very well since I got it.",5.0,Good price,23,good price good quality put phone extra storage held well since got,12
"I bought this card for my new Samsung Galaxy Note 3, didn't have to do anything but put the card in the phone, no formatting needed. Transferred all of my pictures and a few videos along with about 15 GB of music everything loaded very quickly and I still have a ton of memory left to store whatever I want or need to. Bought this on Amazon at a much better price than I could find anywhere else. I ordered this with Amazons frustration free packaging, just pull the tab on the package and the card is in your hand in less than ten seconds. Recommend for anyone who wants a fast card and a lot of memory.",5.0,Great Quality,118,bought card new samsung galaxy note didnt anything put card phone formatting needed transferred pictures videos along gb music everything loaded quickly still ton memory left store whatever want need bought amazon much better price could find anywhere else ordered amazons frustration free packaging pull tab package card hand less ten seconds recommend anyone wants fast card lot memory,59
"I bought this item based off other reviews and recommendations. Installation was extremely easy, and both cards (I bought 2) were shipped in perfect condition. Like others have noted: actual added storage is just over 29 GB. Buying via Amazon was a huge discount as opposed to local in-store options.Shipping was perfect. I would recommend this product to friends/family.",5.0,Samsung Galaxy S4 expanded storage,59,bought item based reviews recommendations installation extremely easy cards bought shipped perfect condition like others noted actual added storage gb buying via amazon huge discount opposed local instore optionsshipping perfect would recommend product friendsfamily,34
"They are scandisk micro SD, they work well and I have never had a problem with this product brand. short a couple words, sorry",5.0,memory card,24,scandisk micro sd work well never problem product brand short couple words sorry,13
"This card is fast! And cheap!  I used it on my Canon S100 Camera to shoot raw format pictures and 1080 video and it worked flawlessly.  I'm currently using it on my old Mytouch phone for storage.Great product, great price.",4.0,holy cow!,40,card fast cheap used canon camera shoot raw format pictures video worked flawlessly im currently using old mytouch phone storagegreat product great price,23
this card is great you can save lots of pictures or files on this card the card works great in most phones,5.0,great memory card,22,card great save lots pictures files card card works great phones,11
very useful for surface pro to increase capacity from 128GB. Can also be used as backup in case something goes wrong,4.0,good design,21,useful surface pro increase capacity gb also used backup case something goes wrong,13
Yee so this is the maximum space allowed in the gopros to my knowledge. The older versions like the Hero 3 are the larger SD cards but now the micro SD cards are allowed. Great price and great quality for those HD pictures and movies. Get it.,5.0,Got this for the Newer GoPros...Working Great!,47,yee maximum space allowed gopros knowledge older versions like hero larger sd cards micro sd cards allowed great price great quality hd pictures movies get,25
"Amazing how they keep making bigger storage cards and the price goes down. Wow, these are nice for holding lots of stuff",5.0,Remember when memory cards were so small and expensive?,22,amazing keep making bigger storage cards price goes wow nice holding lots stuff,13
"I am not sure that I can say anything that has not been covered in the previous 13,660 reviews that have already been written for this memory card, but I will add my comment.Its a great card and it works great in my camera.  The storage capacity is more than I needed, but the price was too good not to get it.",5.0,"13,000 reviews?  Might as well add mine.",62,sure say anything covered previous reviews already written memory card add commentits great card works great camera storage capacity needed price good get,23
"For this special price I could not let them go.I bought a few cards for my phone, my gopro and my camera.... Ideal",4.0,Good cards. Great promo,23,special price could let goi bought cards phone gopro camera ideal,11
It work great in my Asus Tablet for 3 months then it just completely died. It was not recognized by any of my devices. It had just died.I have RMA'd it to Sandisk. The prcess was painless and my replacement should arrive within a few days. They emailed me a return label thru UPS and sent it off last week.When it worked the performance was great and access times were very fast. No lag in reading and writing data.If you get this just make sure you have a back up of your data incase of failure. Had my Tablet synced to my cloud service so I did not lose anything. I have purchased other Sandisk items and have never had a issue.,3.0,.... Died after 3 months. Had to RMA with Sandisk,122,work great asus tablet months completely died recognized devices diedi rmad sandisk prcess painless replacement arrive within days emailed return label thru ups sent last weekwhen worked performance great access times fast lag reading writing dataif get make sure back data incase failure tablet synced cloud service lose anything purchased sandisk items never issue,54
for my Galaxy note 10.1.  This is necessary if you use the tablet as much as I do.  Don't get a smaller card.,5.0,Heck yeah! Can't lose with this much memory!,23,galaxy note necessary use tablet much dont get smaller card,10
"This card worked in my Galaxy S3 right off the bat.  I did not need to format it or anything.  After about 2 weeks, I was watching a video on my phone and it locked up.  Then the phone showed that the card was damaged.  Now I am unable to copy anything over 100mb to or from the card.  Viewing photos from the gallery also locks up the phone.  Amazon customer service is great, however.  They sent me a new card.  I will update my review after I am able to use the new one for at least a month without any errors.****UPDATE****After having the second card for a few weeks, it also had the same issues.  Even worse, the card was completely unreadable after it locked up.  The card showed about 5 GB of data being used, but could not be accessed via the phone or in a computer.  Sent this one back and will be going back to my trusty 16GB card.",1.0,Only lasted 2 weeks.,164,card worked galaxy right bat need format anything weeks watching video phone locked phone showed card damaged unable copy anything mb card viewing photos gallery also locks phone amazon customer service great however sent new card update review able use new one least month without errorsupdateafter second card weeks also issues even worse card completely unreadable locked card showed gb data used could accessed via phone computer sent one back going back trusty gb card,75
Using this on my Samsung Galaxy S4.  It works well and has good read/write speeds.  Very pleased with this card.,5.0,Perfect for Samsung Galaxy S4,20,using samsung galaxy works well good readwrite speeds pleased card,10
"Before putting it into my phone I formatted and moved all the data over to it from my 16GB microSD. Popped it into my phone and has been in there for the last 4 months with no problems. Picked it up for about 27 bucks, very good deal.",5.0,Got it for my Galaxy S III,48,putting phone formatted moved data gb microsd popped phone last months problems picked bucks good deal,16
It works just fine and I'm thinking of getting a 64GB for my tablet later on.  I don't have too much more to say except buy!,5.0,No problems here!,26,works fine im thinking getting gb tablet later dont much say except buy,13
Got this to replace my old class 4 micro sd card in my new phone. Plenty of space and very fast.,5.0,Works as expected,21,got replace old class micro sd card new phone plenty space fast,12
Use this with my GoPro Hero 3 HD to record high definition sports video and this chip does it very well. I would definitely recommend it,5.0,Works great with GoPro Hero 3,26,use gopro hero hd record high definition sports video chip well would definitely recommend,14
"I bought this for my new camera, and the price is incredible. I am a big fan of SanDisk when it comes to memory cards, so of course, I bought one for my camera, but was unsure about it fitting in my new camera (Samsung wb30f). Turns out, it fits, and the storage capacity is incredible. I am a picture lover, so whenever I am able to take pictures, I do. This gave me over 4,000 pictures (maybe even more, I can't remember). Great price, great storage capacity... can't go wrong",5.0,"Came with everything that I needed, amazing storage",91,bought new camera price incredible big fan sandisk comes memory cards course bought one camera unsure fitting new camera samsung wbf turns fits storage capacity incredible picture lover whenever able take pictures gave pictures maybe even cant remember great price great storage capacity cant go wrong,46
Great card but have had some issues with my GoPro 3 with this one. Maybe a firmware update will help my situation.,3.0,Good card but some issues.,22,great card issues gopro one maybe firmware update help situation,10
"I picked this up as a deal of the day.  No issues at all.  Put it in my phone, and then connected the phone (Galaxy S4) to the computer and dropped music and pictures in the folder and everything was quick and easy!",5.0,Great deal!,43,picked deal day issues put phone connected phone galaxy computer dropped music pictures folder everything quick easy,17
Works just fine for the Go-Pro I bought a few months ago. It's works just great for what it's made for.,5.0,Great,21,works fine gopro bought months ago works great made,9
"No issues, plug and play.I have not run benchmarks, but I do store all of my camera and video data to the card. This includes a lot of high definition Daily Roads dashboard cam footage. There's no issues caching all of the temp video files, or storing the ones I opt to save due to the apparently speed and capacity of this card.The only con is the fact I waited so long to buy one. :)",5.0,Works great with Sprint Samsung Galaxy S3,76,issues plug playi run benchmarks store camera video data card includes lot high definition daily roads dashboard cam footage theres issues caching temp video files storing ones opt save due apparently speed capacity cardthe con fact waited long buy one,40
If you're getting this card it means you're 1337 like me.  Or at least you aspire...Carry on young diamond...carry on.,5.0,Booyah!,20,youre getting card means youre like least aspirecarry young diamondcarry,10
Can't beat the price on this one. 64GB and SD card reader. I use this is in my go Pro 3+ works fantastic.,5.0,Great deal,23,cant beat price one gb sd card reader use go pro works fantastic,13
"Arrived DOA but Amazon sent me another one right away and it is perfect. I use it with my GoPro HERO 3 and it is a must if shooting 1440 or better video in order to keep up.Do you need 64gb? Maybe, maybe not but you do need Class 10 so buy it and never look back!",5.0,DOA,57,arrived doa amazon sent another one right away perfect use gopro hero must shooting better video order keep updo need gb maybe maybe need class buy never look back,29
Not sure what the point is of reviewing a stanard 32G memory card.  Purchased for a tablet and works fine.,4.0,Great deal,20,sure point reviewing stanard g memory card purchased tablet works fine,11
"I am continually amazed by the fact that this tiny bit of almost nothing can be so powerful.  However, I caution anyone buying these Micro Cards for their GoPro that they are extremely easy to lose, but I highly recommend them.",5.0,Tiny And Mighty,41,continually amazed fact tiny bit almost nothing powerful however caution anyone buying micro cards gopro extremely easy lose highly recommend,20
True to its name! Sandisk is the best! I am only using this for my smartphone so I guess it's overkill! Many said this type of micro SD card is meant for DSLR's. I'm going for quality and something that would last a long time. That's why I went for this. Highly recommended!,5.0,Best quality of SD cards! Every techie I know always recommend Sandisk!,53,true name sandisk best using smartphone guess overkill many said type micro sd card meant dslrs im going quality something would last long time thats went highly recommended,28
I have used this product with my Samsung Galaxy S3 and my Sony Xperia Z1 and it performs without fail.  This added much need memory for my phone to take pictures and video.  I would recommend to all Android phone owners.,5.0,Great for Android smartphones....,41,used product samsung galaxy sony xperia z performs without fail added much need memory phone take pictures video would recommend android phone owners,23
Added lots of storage space to my new Nokia Lumia 1520. Very nice! The package got here very quickly and I was able to install it easily. The phone recognized it immediately. I did turn off the phone before inserting the SD. It came with an adapter that I didn't need to convert it from Micro SD.,5.0,More space!,57,added lots storage space new nokia lumia nice package got quickly able install easily phone recognized immediately turn phone inserting sd came adapter didnt need convert micro sd,28
it is amazing how much storage they can fit into such a small form factorremember 1.5 mb floppy disks ?heck this thing is soooo small you might lose itits like pinky nail size smalland holds 64 GB ! awesome,5.0,amazingly small storage,39,amazing much storage fit small form factorremember mb floppy disks heck thing soooo small might lose itits like pinky nail size smalland holds gb awesome,25
"NOT GOOD REPEATEDLY SELF EJECTS FROM NEW GALAXY S4  RETURNED FOR EXCHANGE OR REFUND....BOUGHT TWO ONE WORKS WELL BUT ONE DOESN'T I GUESS IS DEFECTIVE....I HAVE TWO GAL S4,..IS WHY I BOUGHT 2...",1.0,NOT GOOD REPEATEDLY SELF EJECTS FROM NEW GALAXY S4,33,good repeatedly self ejects new galaxy returned exchange refundbought two one works well one doesnt guess defectivei two gal sis bought,21
SanDisk is a great brand and it has failed. I have purchased several of these so I think it was just bad luck. I am sure Amazon will replace it.,5.0,failed after 2 months,30,sandisk great brand failed purchased several think bad luck sure amazon replace,12
San disk has always been a good brand for me.  It worked very well for my samsung galaxy phones and tablets.,5.0,Good Brand,21,san disk always good brand worked well samsung galaxy phones tablets,11
"I used this to replace the existing Transcend MicroSDHC card in my phone. I find that only a few pieces of my equipment can access it - apparently some older firmware devices do not recognize 64 GB SD. One trick I found - I was able to format this in my tablet, then move it into my phone. Initially, my phone reported it as a corrupt SD. Other than that, I have had no issues with it - it is reliable and stable, but not lightning fast. It took me over two hours to copy my photos and music onto it.",4.0,"Reliable and stable, but not lightning fast",101,used replace existing transcend microsdhc card phone find pieces equipment access apparently older firmware devices recognize gb sd one trick found able format tablet move phone initially phone reported corrupt sd issues reliable stable lightning fast took two hours copy photos music onto,43
"Big fan of SanDisk and even more so as the price of flash decreases. Can't compare to other brands as never has a reason to switch, Minor price variations do not compel to do so and performance/quality has never been in issue in many years of suing brand.",5.0,Sandisk is Ultra,48,big fan sandisk even price flash decreases cant compare brands never reason switch minor price variations compel performancequality never issue many years suing brand,24
Seems to work just fine. I have loaded it up about 1/3 full and deleted the files and nothing unexpected has happened.,5.0,Works as it should,22,seems work fine loaded full deleted files nothing unexpected happened,10
"I have a dashcam.  It didn't come with a memory card so I got this.This card has been working well in a fairly demanding capacity.  That's because like the way most drivers use dashcams, I've got mine set to 10 minute loops.  That means new data is being written over and over again on this card.  So far the card hasn't quit on me and I'm pleased.",5.0,Has been working well for me in dashcam,67,dashcam didnt come memory card got thisthis card working well fairly demanding capacity thats like way drivers use dashcams ive got mine set minute loops means new data written card far card hasnt quit im pleased,36
the phone that memory resides plays video and media fast.  Sandisk always makes excellent products and for memory it is leader.,5.0,very fast memory,21,phone memory resides plays video media fast sandisk always makes excellent products memory leader,14
I would recommend this memory card to anyone. It works well with my tablet. I have no problems with it.,4.0,Good Memory Card,20,would recommend memory card anyone works well tablet problems,9
"Works like it's suppose to, quick and efficient, stable and reasonably priced. So far so good, put it in the camera and go.",5.0,Does what it's suppose to,23,works like suppose quick efficient stable reasonably priced far good put camera go,13
"If you carry two of these, one in your camera and one in the camera case pocket (don't lose it), you will never run out of memory. Enough capacity at ~4MB/image to shoot and shoot and shoot.  Download at the end of the day if you want, but you have thousands of pictures on one of these. Couple with batteries (see WASABI review) and you can just never stop shooting.",5.0,A virtual lifetime of photos,70,carry two one camera one camera case pocket dont lose never run memory enough capacity mbimage shoot shoot shoot download end day want thousands pictures one couple batteries see wasabi review never stop shooting,34
"This is very good memory for GoPro. Went with 32GB because my brother, who has two GoPro cameras, said he never filled up his 32 so why go for 64? Anyway, this is versatile enough to go in phone or camera, I ordered two more.",5.0,Versitile...I can use in GoPro and Phone,45,good memory gopro went gb brother two gopro cameras said never filled go anyway versatile enough go phone camera ordered two,21
I am giving this item a five star rating because it works well and can be used in a micro or standard format.,5.0,ScanDisk 32 GB Memory card Adapter,23,giving item five star rating works well used micro standard format,11
"Just what I am expecting for this brand, I installed it in my tablet the moment it arrives and it works perfectly.",5.0,Perfect,22,expecting brand installed tablet moment arrives works perfectly,8
